instance_id,sample_index,turns,actual_prefill_tokens,ideal_incremental_tokens,ideal_page64_prefill_tokens,page64_boundary_recompute_tokens,excess_over_ideal_page64_tokens,decode_tokens,cumulative_full_prompt_tokens
pytest-dev__pytest-5631,334,64,33267,26042,28531,2489,4736,20903,906739
pytest-dev__pytest-5787,335,64,55828,38745,40660,1915,15168,17786,1463252
pytest-dev__pytest-5809,336,13,5654,3938,4182,244,1472,931,30678
pytest-dev__pytest-5840,337,30,19363,11471,12195,724,7168,6419,224483
pytest-dev__pytest-6197,338,34,20436,19505,20436,931,0,17150,379668
pytest-dev__pytest-6202,339,64,34949,20147,22213,2066,12736,6249,631749
pytest-dev__pytest-7205,340,64,38267,32892,34747,1855,3520,26537,1185083
pytest-dev__pytest-7236,341,10,11855,11493,11855,362,0,2227,66895
pytest-dev__pytest-7324,342,46,45949,35036,36541,1505,9408,11080,755581
pytest-dev__pytest-7432,343,20,18307,7562,8195,633,10112,19706,85507
pytest-dev__pytest-7490,344,32,32244,17790,18548,758,13696,23041,371764
pytest-dev__pytest-7521,345,28,28196,13093,13988,895,14208,4582,246820
pytest-dev__pytest-7571,346,64,47477,19808,21813,2005,25664,16100,673461
pytest-dev__pytest-7982,347,46,52010,15264,16682,1418,35328,5851,403562
pytest-dev__pytest-8399,348,64,48803,16788,18659,1871,30144,5627,686307
scikit-learn__scikit-learn-10297,349,46,39086,20972,22510,1538,16576,5768,543662
scikit-learn__scikit-learn-10844,350,15,8247,6953,7351,398,896,2634,52727
scikit-learn__scikit-learn-10908,351,39,22188,13342,14828,1486,7360,12512,305516
scikit-learn__scikit-learn-11310,352,60,124439,55360,57367,2007,67072,12937,2074263
scikit-learn__scikit-learn-11578,353,32,53568,26549,27520,971,26048,14165,476992
scikit-learn__scikit-learn-12585,354,7,2540,2336,2540,204,0,4646,11052
scikit-learn__scikit-learn-12682,355,64,56184,31691,33592,1901,22592,16300,1120696
scikit-learn__scikit-learn-12973,356,50,24928,14936,16736,1800,8192,7303,355360
scikit-learn__scikit-learn-13124,357,7,12286,12152,12286,134,0,10876,53054
scikit-learn__scikit-learn-13135,358,15,12522,10268,10666,398,1856,3087,93738
scikit-learn__scikit-learn-13142,359,45,38461,24385,25853,1468,12608,15506,639805
scikit-learn__scikit-learn-13328,360,54,43816,20960,22440,1480,21376,10221,734376
scikit-learn__scikit-learn-13439,361,41,27539,16378,17747,1369,9792,5314,436051
scikit-learn__scikit-learn-13496,362,35,41869,23985,24973,988,16896,4630,498893
scikit-learn__scikit-learn-13779,363,13,14334,5169,5566,397,8768,1832,45758
scikit-learn__scikit-learn-14053,364,5,5591,5535,5591,56,0,9002,17303
scikit-learn__scikit-learn-14087,365,4,3793,3727,3793,66,0,8644,7185
scikit-learn__scikit-learn-14141,366,6,3101,2026,2141,115,960,419,6365
scikit-learn__scikit-learn-14496,367,17,10576,4015,4560,545,6016,1449,33936
scikit-learn__scikit-learn-14629,368,21,9571,5858,6371,513,3200,4775,64803
scikit-learn__scikit-learn-14710,369,13,20314,7890,8154,264,12160,2967,76442
scikit-learn__scikit-learn-14894,370,44,25905,20522,21809,1287,4096,15286,429809
scikit-learn__scikit-learn-14983,371,35,20852,8055,9140,1085,11712,7339,183028
scikit-learn__scikit-learn-15100,372,29,12389,9943,10725,782,1664,9509,125477
scikit-learn__scikit-learn-25102,373,33,30630,29530,30630,1100,0,20404,563110
scikit-learn__scikit-learn-25232,374,62,48579,31255,33027,1772,15552,12807,992387
scikit-learn__scikit-learn-25747,375,14,25312,12673,13088,415,12224,13534,103840
scikit-learn__scikit-learn-25931,376,34,14942,10164,11230,1066,3712,18071,179550
scikit-learn__scikit-learn-25973,377,64,28440,26427,28440,2013,0,19149,995352
scikit-learn__scikit-learn-26194,378,42,29794,17896,19042,1146,10752,26977,425698
scikit-learn__scikit-learn-26323,379,23,15420,7573,8316,743,7104,3221,106428
scikit-learn__scikit-learn-9288,380,64,40830,32188,34302,2114,6528,27573,1064446
sphinx-doc__sphinx-10323,381,8,7654,7431,7654,223,0,11500,38566
sphinx-doc__sphinx-10435,382,24,15888,5903,6736,833,9152,3829,83728
sphinx-doc__sphinx-10449,383,64,42260,24570,26772,2202,15488,30181,1015700
sphinx-doc__sphinx-10466,384,46,50924,30344,31980,1636,18944,9731,774572
sphinx-doc__sphinx-10614,385,25,31227,15300,16123,823,15104,20729,225467
